Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-19 14:15:00+05:30,165.5899963,166.4199982,165.5899963,166.3500061,229679,0,0
2025-11-19 15:15:00+05:30,166.3399963,166.5299988,166,166.1999969,165611,0,0
2025-11-20 09:15:00+05:30,166.3999939,167.9299927,165.1000061,165.6000061,0,0,0
2025-11-20 10:15:00+05:30,165.5299988,166.3000031,165.3300018,166.0899963,224996,0,0
2025-11-20 11:15:00+05:30,166.0899963,167.6000061,165.8500061,166.3500061,281191,0,0
2025-11-20 12:15:00+05:30,166.4600067,166.6399994,165.6999969,165.7899933,84513,0,0
2025-11-20 13:15:00+05:30,165.7899933,165.8099976,165.3600006,165.5299988,81834,0,0
2025-11-20 14:15:00+05:30,165.5299988,165.6399994,164.7899933,165.3699951,255612,0,0
2025-11-20 15:15:00+05:30,165.3600006,165.4499969,164.8999939,165.3200073,126830,0,0
2025-11-21 09:15:00+05:30,164.5899963,165.1499939,163.3000031,163.4499969,0,0,0
2025-11-21 10:15:00+05:30,163.4299927,163.4799957,162.8999939,163.0800018,147850,0,0
2025-11-21 11:15:00+05:30,163.0800018,163.2799988,162.6999969,163.0800018,108675,0,0
2025-11-21 12:15:00+05:30,163.1499939,163.5700073,162.75,162.75,102021,0,0
2025-11-21 13:15:00+05:30,162.8200073,162.8800049,162.3000031,162.8800049,135893,0,0
2025-11-21 14:15:00+05:30,162.8800049,162.9499969,162.1699982,162.5599976,231333,0,0
2025-11-21 15:15:00+05:30,162.5599976,162.75,162,162.3000031,158023,0,0
2025-11-24 09:15:00+05:30,162.6000061,162.6000061,160.6499939,161,0,0,0
2025-11-24 10:15:00+05:30,161,161.1000061,160.25,160.3500061,160164,0,0
2025-11-24 11:15:00+05:30,160.3200073,160.4900055,160,160.0200043,113220,0,0
2025-11-24 12:15:00+05:30,160.0500031,160.3899994,159.5,159.8399963,132480,0,0
2025-11-24 13:15:00+05:30,159.8399963,159.9400024,159.4400024,159.5,90120,0,0
2025-11-24 14:15:00+05:30,159.5,160.8600006,159,160.8099976,352057,0,0
2025-11-24 15:15:00+05:30,160.9400024,160.9700012,160.1799927,160.4499969,134776,0,0
